Country,Year,Age,Type,Unit,NominalOrReal,SingleOrFiveYear,Attributes,Status,Labor Income,Public Consumption,Private Consumption,LifeCycle Deficit,Consumption,Self-employment Labor Income,Earnings,ID,Entry,Exit,Span,Region
Argentina,2010,3,Smooth Mean,Units,Nominal,Single,,Public,0,8218.330167,5543.46318,13761.79335,13761.79335,0,0,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,4,Smooth Mean,Units,Nominal,Single,,Public,0,10681.3865,5794.979334,16476.36583,16476.36583,0,0,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,5,Smooth Mean,Units,Nominal,Single,,Public,0,11939.81742,6039.964431,17979.78185,17979.78185,0,0,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,6,Smooth Mean,Units,Nominal,Single,,Public,11.43122072,12001.09539,6288.652216,18278.31639,18289.74761,0.79565116,10.63556956,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,7,Smooth Mean,Units,Nominal,Single,,Public,35.30284622,12089.04623,6552.375308,18606.1187,18641.42154,1.982918403,33.31992782,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,8,Smooth Mean,Units,Nominal,Single,,Public,59.89102218,12079.42315,6853.723079,18873.2552,18933.14623,2.750232152,57.14079002,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,9,Smooth Mean,Units,Nominal,Single,,Public,83.55996874,12133.72317,7123.923878,19174.08708,19257.64705,3.080393314,80.47957542,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,10,Smooth Mean,Units,Nominal,Single,,Public,100.8737235,12239.109,7402.731986,19540.96726,19641.84099,3.563184065,97.31053948,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,11,Smooth Mean,Units,Nominal,Single,,Public,107.2492491,12317.48707,7669.004275,19879.2421,19986.49135,5.114803557,102.1344455,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,12,Smooth Mean,Units,Nominal,Single,,Public,135.6413281,12323.32519,7984.706513,20172.39037,20308.0317,9.856115263,125.7852128,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,13,Smooth Mean,Units,Nominal,Single,,Public,204.5407474,12376.75408,8282.997325,20455.21066,20659.75141,24.08689044,180.453857,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,14,Smooth Mean,Units,Nominal,Single,,Public,398.0547792,12370.60991,8622.737714,20595.29284,20993.34762,45.96095065,352.0938286,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,15,Smooth Mean,Units,Nominal,Single,,Public,837.2395976,12480.08063,8966.885989,20609.72702,21446.96662,77.97852672,759.2610709,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,16,Smooth Mean,Units,Nominal,Single,,Public,1616.472472,12162.28773,9340.632977,19886.44823,21502.9207,132.1602783,1484.312193,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,17,Smooth Mean,Units,Nominal,Single,,Public,2787.087691,11778.34432,9677.229692,18668.48632,21455.57401,202.4727208,2584.61497,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,18,Smooth Mean,Units,Nominal,Single,,Public,4391.031695,10825.11746,10009.20648,16443.29225,20834.32394,278.7022945,4112.329401,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,19,Smooth Mean,Units,Nominal,Single,,Public,6311.489745,9920.187393,10367.48949,13976.18713,20287.67688,375.8338736,5935.655871,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,20,Smooth Mean,Units,Nominal,Single,,Public,8469.648797,9503.37616,10867.73966,11901.46703,20371.11582,522.1371933,7947.511603,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,21,Smooth Mean,Units,Nominal,Single,,Public,10790.54602,9098.124799,11362.83997,9670.418746,20460.96477,664.7328558,10125.81316,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,22,Smooth Mean,Units,Nominal,Single,,Public,13163.07309,8738.216089,11790.27949,7365.422488,20528.49558,832.4091881,12330.6639,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,23,Smooth Mean,Units,Nominal,Single,,Public,15457.29595,8652.587317,12262.79473,5458.086106,20915.38205,1029.954228,14427.34172,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,24,Smooth Mean,Units,Nominal,Single,,Public,17731.5171,8377.909765,12712.65743,3359.050093,21090.56719,1240.133982,16491.38312,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,25,Smooth Mean,Units,Nominal,Single,,Public,19901.42747,8309.008369,13139.11743,1546.698334,21448.1258,1414.108092,18487.31938,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,26,Smooth Mean,Units,Nominal,Single,,Public,21914.4848,7974.561611,13547.69734,-392.2258458,21522.25896,1653.793172,20260.69163,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,27,Smooth Mean,Units,Nominal,Single,,Public,23716.53599,7851.408863,13955.61966,-1909.507459,21807.02853,1884.998742,21831.53724,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,28,Smooth Mean,Units,Nominal,Single,,Public,25437.25802,7646.058782,14224.23074,-3566.968492,21870.28952,2124.036136,23313.22188,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,29,Smooth Mean,Units,Nominal,Single,,Public,26922.46877,7576.342898,14484.30287,-4861.822996,22060.64577,2366.389351,24556.07942,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,30,Smooth Mean,Units,Nominal,Single,,Public,28195.90692,7424.748023,14629.02498,-6142.133911,22053.77301,2631.252817,25564.6541,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,31,Smooth Mean,Units,Nominal,Single,,Public,29166.66802,7273.031973,14705.00635,-7188.629698,21978.03832,2821.761911,26344.90611,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,32,Smooth Mean,Units,Nominal,Single,,Public,29971.44848,7243.572962,14768.88728,-7958.988246,22012.46024,3016.732022,26954.71646,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,33,Smooth Mean,Units,Nominal,Single,,Public,30391.89528,7221.206053,14839.27075,-8331.418479,22060.4768,3179.631374,27212.2639,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,34,Smooth Mean,Units,Nominal,Single,,Public,30593.9034,7257.402361,14789.44524,-8547.055803,22046.8476,3329.13649,27264.76691,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,35,Smooth Mean,Units,Nominal,Single,,Public,30643.18921,7114.413356,14721.87917,-8806.896683,21836.29252,3466.523478,27176.66573,Argentina-2010,29,58,29,LatinAmerica
Argentina,2010,36,Smooth Mean,Units,Nominal,Single,,Public,30666.6257,7007.644958,14630.57272,-9028.408022,21638.21767,3631.456221,27035.16948,Argentina-2010,29,58,29,LatinAmerica
